Zip Code ZCTA,2010 Census Population
04347,2355
04348,2976
04349,1158
04350,3577
04351,2571
04352,1632
04353,2300
04354,1535
04355,2600
04357,3399
04358,4276
04359,388
04360,560
04363,2575
04364,6025
04401,44899
04406,819
04408,176
04410,1290
04411,1492
04412,9482
04413,196
04414,1248
04415,276
04416,5468
04417,370
04418,1771
04419,2794
04421,1366
04422,1409
04424,823
04426,4720
04427,2858
04428,3146
04429,4717
04430,1728
04431,81
04434,1246
04435,1092
04438,1124
04441,1840
04442,93
04443,2537
04444,8824
04448,1431
04449,1489
04450,1368
04451,259
04453,779
04454,69
04455,923
04456,2851
04457,5948
04459,773
04460,1419
04461,3070
04462,4835
04463,2847
04464,684
04468,9521
04469,2702
04471,609
04472,2144
04473,7660
04474,3733
04475,418
04476,1259
04478,316
04479,1343
04481,559
04485,233
04487,964
04488,1202
04489,197
04490,273
04491,140
04492,166
04493,1967
04495,407
04496,3757
04497,389
04530,10818
04535,709
04537,2073
04538,2080
04539,1168
04541,80
04543,2218
04544,724
04547,1152
04548,1042
04551,806
04553,1752
04554,710
04555,1643
04556,1249
04558,308
04562,2216
04563,1534
04564,489
04568,391
04570,2
04571,323
04572,5075
04573,501
04574,1510
04575,85
04576,604
04578,4450
04579,3072
04605,12974
04606,1272
04607,1182
04609,5222
04611,508
04612,589
04613,183
04614,2579
04616,824
04617,811
04619,3121
04622,1412
04623,1054
04624,184
04625,47
04626,507
04627,1636
04628,703
04629,107
04630,1398
04631,1331
04634,1923
04635,61
04637,136
04640,2261
04642,123
04643,1018
04644,13
04645,73
04646,94
04648,580
04649,1370
04650,235
04652,1690
04653,490
04654,3424
04655,1119
04657,363
04658,1353
04660,1309
04662,488
04664,1238
04666,1172
04667,1638
04668,1680
04669,204
04671,576
04673,112
04674,484
04675,253
04676,1088
04677,274
04679,1767
04680,1131
04681,1043
04683,104
04684,1466
04685,332
04686,114
04691,441
04693,516
04694,2376
04730,9992
04732,1670
04733,221
04734,800
04735,617
04736,9876
04739,1112
04740,1287
04741,3
04742,3496
04743,4676
04745,1082
04746,470
04747,1337
04750,2603
04756,3344
04757,2870
04758,1498
04760,795
04761,529
04762,602
04763,726
04764,66
04765,1262
04766,386
04768,400
04769,9692
04772,762
04773,723
04774,730
04776,925
04777,422
04779,398
04780,808
04781,560
04783,426
04785,2504
04786,1970
04787,544
04841,7297
04843,4851
04847,1536
04848,566
04849,3684
04851,75
04852,69
04853,354
04854,1580
04855,307
04856,3330
04858,1533
04859,724
04860,1591
04861,2781
04862,3592
04863,1165
04864,4751
04901,26248
04910,2041
04911,2136
04912,1048
04915,8806
04917,2849
04918,349
04920,1713
04921,1593
04922,1164
04923,482
04924,2275
04925,75
04926,52
04927,3486
04928,2198
04929,837
04930,4295
04932,1181
04933,65
04936,261
04937,6645
04938,9869
04939,1105
04940,118
04941,1751
04942,1326
04943,1792
04944,42
04945,1242
04947,1852
04949,913
04950,4855
04951,906
04952,1829
04953,3228
04955,1362
04956,760
04957,4265
04958,1954
04961,972
04962,125
04963,7238
04964,221
04965,1976
04966,1682
04967,4230
04969,1362
04970,1620
04971,2005
04973,1389
04974,2611
04975,48
04976,9903
04978,799
04979,1064
04981,2316
04982,630
04983,1752
04984,523
04985,114
04986,1721
04987,1030
04988,2134
04989,4215
04992,103
05001,9123
05031,218
05032,2664
05033,2744
05034,310
05035,638
05036,1037
05037,560
05038,1230
05039,1110
05040,471
05041,354
05042,605
05043,937
05045,1758
05046,1139
05048,2429
05050,146
05051,1549
05052,348
05053,332
05055,3363
05056,567
05058,346
05059,874
05060,4415
05061,1679
05062,702
05065,1064
05067,258
05068,3125
05069,555
05070,484
05071,324
05072,526
05075,1113
05076,412
05077,1215
05079,730
05081,550
05083,151
05084,140
05086,793
05089,4979
05091,3288
05101,4643
05141,112
05142,680
05143,4343
05146,750
05148,1140
05149,2092
05150,831
05151,1553
05152,448
05153,687
05154,661
05155,828
05156,9226
05158,1049
05161,552
05201,14851
05250,3408
05251,1350
05252,274
05253,685
05254,273
05255,4121
05257,2718
05260,459
05261,2738
05262,2547
05301,16820
05340,763
05341,407
05342,581
05343,917
05345,2119
05346,5184
05350,763
05352,824
05353,1072
05354,2210
05355,813
05356,717
05358,148
05359,594
05360,251
05361,947
05362,127
05363,2021
05401,28185
05403,17593
05404,7240
05405,4406
05408,10114
05439,1734
05440,1998
05441,958
05442,339
05443,6656
05444,1714
05445,3754
05446,15373
05447,79
05448,1134
05450,4977
05452,19710
05454,4447
05455,1080
05456,1277
05457,1617
05458,2044
05459,2156
05461,4542
05462,1938
05463,471
05464,3008
05465,5355
05468,12942
05471,896
05472,1643
05473,1413
05474,803
05476,3183
05477,4397
05478,14449
05481,0
05482,7198
05483,1303
05485,93
05486,1654
05487,1498
05488,7690
05489,3174
05491,5909
05492,682
05494,1767
05495,9341
05602,11916
05640,161
05641,17169
05647,1141
05648,423
05649,574
05650,1123
05651,1546
05652,776
05653,547
05654,970
05655,2868
05656,3508
05657,56
05658,1402
05660,1660
05661,5620
05663,6773
05664,80
05667,2166
05669,634
05672,4314
05673,2574
05674,1705
05675,1064
05676,4984
05677,2232
05678,163
05679,3296
05680,2168
05681,458
05682,1251
05701,20802
05730,302
05732,708
05733,5895
05734,1306
05735,4402
05736,684
05737,875
05738,1072
05739,1407
05740,25
05742,597
05743,4330
05744,533
05747,280
05748,323
05751,811
05753,10491
05757,832
05758,784
05759,1827
05760,1123
05761,1000
05762,542
05763,2747
05764,3452
05765,1803
05766,572
05767,1143
05769,1216
05770,1136
05772,713
05773,2136
05774,1129
05775,623
05776,714
05777,3420
05778,733
05819,9444
05820,662
05821,1269
05822,1873
05824,1139
05825,191
05826,983
05827,309
05828,1928
05829,2003
05830,1502
05832,982
05833,273
05836,1068
05837,353
05839,775
05841,425
05842,522
05843,2556
05845,1096
05846,1252
05847,879
05850,231
05851,6528
05853,711
05855,7170
05857,1540
05858,368
05859,1819
05860,2557
05862,356
05866,732
05867,899
05868,364
05871,1638
05872,789
05873,675
05874,505
05875,454
05901,20
05902,188
05903,868
05904,267
05905,827
05906,1178
05907,177
06001,18385
06002,20486
06010,60448
06013,9326
06016,6226
06018,2865
06019,10129
06020,0
06021,314
06022,163
06023,1296
06024,647
06026,5117
06027,1492
06029,15547
06031,1287
06032,17675
06033,28762
06035,7513
06037,18565
06039,1942
06040,35306
06042,22942
06043,4986
06051,30519
06052,7858
06053,34863
06057,6707
06058,1787
06059,0
06060,2581
06061,169
06062,17715
06063,3285
06065,882
06066,29219
06067,19709
06068,1612
06069,2535
06070,15104
06071,11645
06073,5651
06074,25705
06076,12659
06078,12413
06081,1381
06082,44654
06084,15067
06085,7276
06088,4936
06089,2813
06090,1232
06091,140
06092,4203
06093,3322
06095,29079
06096,12498
06098,12426
06103,1410
06105,19392
06106,39902
06107,18786
06108,24307
06109,26668
06110,12650
06111,30562
06112,22879
06114,27449
06117,17267
06118,26956
06119,15474
06120,12887
06160,0
06226,20114
06231,4083
06232,3297
06234,8244
06235,2257
06237,5492
06238,12428
06239,11183
06241,6650
06242,1408
06243,60
06247,2841
06248,5603
06249,7308
06250,4821
06254,1922
06255,4744
06256,2154
06259,4498
06260,9510
06262,586
06263,345
06264,166
06266,495
06268,11481
06269,9844
06277,4140
06278,4454
06279,6041
06280,3162
06281,6930
06282,1096
06320,27617
06330,3282
06331,5137
06332,258
06333,6607
06334,2592
06335,6729
06336,84
06339,8302
06340,31242
06350,67
06351,16301
06353,162
06354,6141
06355,12985
06357,12552
06359,5313
06360,37541
06365,4720
06370,7429
06371,9952
06373,345
06374,8373
06375,3660
06376,57
06377,2962
06378,5399
06379,9038
06380,2862
06382,11947
06384,2672
06385,15893
06387,213
06389,41
06390,236
06401,19237
06403,6033
06405,27860
06409,693
06410,29161
06412,3994
06413,13235
06414,214
06415,16857
06416,14005
06417,4629
06418,12914
06419,6525
06420,4182
06422,7388
06423,5097
06424,12808
06426,3245
06437,22375
06438,2550
06441,5438
06442,2745
06443,18269
06444,370
06447,6404
06450,36493
06451,24419
06455,3148
06456,295
06457,47648
06460,38207
06461,14552
06467,157
06468,19479
06469,3209
06470,16003
06471,7720
06472,6853
06473,24388
06475,10242
06477,13956
06478,12683
06479,10431
06480,9508
06481,1277
06482,11557
06483,16540
06484,39559
06488,19904
06489,32067
06492,45241
06498,6963
06510,2737
06511,53600
06512,29861
06513,38978
06514,26265
06515,17141
06516,55564
06517,14853
06518,19848
06519,16428
06524,5563
06525,8990
06604,30313
06605,23397
06606,46236
06607,7843
06608,13671
06610,22735
06611,36091
06612,7453
06614,32929
06615,18453
06702,3654
06704,25139
06705,27122
06706,14324
06708,29418
06710,10715
06712,9376
06716,16680
06750,1446
06751,3577
06752,1735
06754,1699
06755,1133
06756,2853
06757,2258
06758,354
06759,5720
06762,7561
06763,2033
06770,31975
06776,26889
06777,1733
06778,1378
06779,8324
06782,2376
06783,2228
06784,3689
06785,686
06786,9867
06787,7975
06790,36482
06791,5666
06793,1140
06794,1065
06795,14144
06796,1009
06798,9984
06801,18581
06804,16466
06807,7150
06810,49482
06811,31400
06812,13881
06820,20732
06824,33900
06825,21123
06830,24027
06831,14792
06840,19738
06850,18078
06851,26703
06853,3646
06854,29100
06855,7892
06856,3
06870,7316
06877,24677
06878,8043
06880,26647
06883,10179
06890,4306
06896,9110
06897,18071
06901,6828
06902,63406
06903,14499
06905,19649
06906,9088
06907,9016
07001,16305
07002,63031
07003,47312
07004,7440
07005,15269
07006,24812
07008,22844
07009,12411
07010,23594
07011,39710
07012,11703
07013,27051
07014,5184
07016,22625
07017,35945
07018,28322
07020,11513
07021,2091
07022,13835
07023,7318
07024,35353
07026,30555
07027,4226
07028,7618
07029,16026
07030,50005
07031,15392
07032,40684
07033,7914
07034,9360
07035,10607
07036,41970
07039,29358
07040,23876
07041,6868
07042,25599
07043,12138
07044,13584
07045,10127
07046,4194
07047,60773
07050,30074
07052,46182
07054,29305
07055,69816
07057,11335
07058,5372
07059,15311
07060,44998
07062,12949
07063,13538
07064,3723
07065,27346
07066,14756
07067,18036
07068,5819
07069,6157
07070,18061
07071,20554
07072,6127
07073,8913
07074,2708
07075,7626
07076,23480
07077,2766
07078,13250
07079,16316
07080,23377
07081,15808
07082,5384
07083,53053
07086,12554
07087,66515
07088,3606
07090,30338
07092,6730
07093,60884
07094,16264
07095,19844
07102,12579
07103,32698
07104,50478
07105,46983
07106,31298
07107,37650
07108,24386
07109,35897
07110,28351
07111,53942
07112,26417
07114,14748
07201,26263
07202,40849
07203,21085
07204,13297
07205,21398
07206,26636
07208,31219
07302,36352
07304,41233
07305,60104
07306,52669
07307,43812
07310,12838
07311,522
07401,6494
07403,7603
07405,17701
07407,19403
07410,32457
07416,5781
07417,10580
07418,2249
07419,9160
07420,4942
07421,7439
07422,6616
07423,4078
07424,26222
07430,25890
07432,7128
07435,2405
07436,12754
07438,11559
07439,2456
07440,4494
07442,11097
07444,11046
07446,14484
07450,24985
07452,11601
07456,12211
07457,3559
07458,11360
07460,3457
07461,19563
07462,6885
07463,9615
07465,6244
07470,54717
07480,16122
07481,16716
07495,0
07501,33543
07502,15406
07503,18723
07504,12882
07505,2256
07506,18791
07508,22600
07512,10804
07513,11508
07514,18289
07522,20883
07524,12709
07601,43010
07603,8187
07604,11842
07605,8950
07606,2310
07607,9555
07608,67
07620,1849
07621,26761
07624,8373
07626,8537
07627,4881
07628,17433
07630,7379
07631,27119
07632,5309
07640,4664
07641,3382
07642,10207
07643,10626
07644,24136
07645,7832
07646,16341
07647,5152
07648,5730
07649,7978
07650,19601
07652,26342
07656,8669
07657,11032
07660,12729
07661,11340
07662,5530
07663,13659
07666,39776
07670,14573
07675,26339
07676,9075
07677,5730
07701,23813
07702,3809
07703,690
07704,6133
07711,1533
07712,39158
07716,8574
07717,1901
07718,6263
07719,21538
07720,4298
07721,2974
07722,10209
07723,1020
07724,21710
07726,42508
07727,7050
07728,56257
07730,17396
07731,38304
07732,5189
07733,16849
07734,13269
07735,19569
07737,4264
07738,6095
07739,5938
07740,31038
07746,18666
07747,30770
07748,28030
07750,3279
07751,19736
07753,37554
07755,6363
07756,3342
07757,5356
07758,4967
07760,9283
07762,8403
07764,8097
07801,25386
07803,3651
07820,39
07821,9193
07822,887
07823,7571
07825,9555
07826,6180
07827,4244
07828,14150
07830,6503
07832,3903
07833,157
07834,17722
07836,12568
07838,3568
07840,29849
07842,130
07843,12241
07846,89
07847,1670
07848,5026
07849,9054
07850,6436
07851,119
07852,3609
07853,13325
07856,3944
07857,3244
07860,26288
07863,4332
07865,2189
07866,22098
07869,25291
07870,26
07871,21165
07874,8905
07876,10619
07878,934
07880,192
07881,16
07882,14492
07885,10078
07901,22806
07920,26747
07921,7621
07922,12246
07924,7534
07926,120
07927,3403
07928,19144
07930,8559
07931,3296
07932,9868
07933,3251
07934,1501
07935,313
07936,11157
07939,228
07940,17278
07945,9539
07946,3144
07950,19564
07960,43747
07961,4
07970,117
07974,11768
07976,754
07977,669
07979,589
07980,2307
07981,8865
08001,844
08002,22274
08003,30629
08004,12350
08005,22448
08006,518
08007,5250
08008,6975
08009,12854
08010,11539
08011,33
08012,38992
08014,504
08015,20763
08016,33540
08019,925
08020,2201
08021,44833
08022,8783
08023,451
08026,2274
08027,4888
08028,20078
08029,4784
08030,13410
08031,11584
08033,16261
08034,18151
08035,7566
08036,5917
08037,24308
08038,124
08039,137
08041,1002
08042,203
08043,29131
08045,2909
08046,31587
08048,12495
08049,5350
08050,24285
08051,10758
08052,19172
08053,45538
08054,41864
08055,27179
08056,4736
08057,21090
08059,5612
08060,24713
08061,2672
08062,15756
08063,3102
08064,311
08065,7398
08066,8437
08067,1635
08068,6727
08069,13076
08070,13059
08071,9551
08072,225
08073,203
08074,58
08075,28894
08077,18307
08078,8385
08079,10987
08080,37433
08081,50589
08083,9455
08084,7040
08085,18737
08086,7699
08087,24104
08088,24664
08089,4253
08090,8358
08091,5357
08092,3673
08093,9741
08094,39940
08095,236
08096,36116
08097,3293
08098,9090
08102,7565
08103,15190
08104,23851
08105,29077
08106,9874
08107,13675
08108,18045
08109,22407
08110,19008
08201,10007
08202,1444
08203,9454
08204,18557
08205,28626
08210,17167
08212,294
08215,13442
08217,70
08221,7092
08223,4125
08224,573
08225,8659
08226,11701
08230,5599
08232,19292
08234,42532
08240,2371
08241,1103
08242,3216
08243,2114
08244,10849
08246,92
08247,925
08248,158
08251,10364
08260,13661
08270,8492
08302,46872
08310,1670
08311,2057
08312,7875
08314,2511
08316,400
08317,1344
08318,12702
08319,1253
08320,1256
08321,247
08322,10524
08323,804
08324,526
08326,1761
08327,3070
08328,1347
08329,221
08330,28167
08332,36768
08340,979
08341,2239
08343,5030
08344,5847
08345,805
08346,843
08348,275
08349,2347
08350,825
08352,448
08353,516
08360,43355
08361,17352
08401,39554
08402,6354
08403,997
08406,10650
08501,6582
08502,11317
08505,17736
08510,5231
08511,826
08512,10105
08514,4477
08515,4637
08518,4986
08520,27869
08525,4767
08527,54392
08528,315
08530,8071
08533,6945
08534,12929
08535,5385
08536,20073
08540,47115
08542,5189
08550,19445
08551,5532
08553,682
08554,3818
08555,877
08558,6629
08559,4982
08560,3656
08561,226
08562,5371
08608,983
08609,13546
08610,30468
08611,28038
08618,38229
08619,22723
08620,14693
08628,9054
08629,12331
08638,22832
08640,7716
08641,3553
08648,32263
08690,18567
08691,15104
08701,92843
08720,843
08721,20512
08722,11045
08723,31641
08724,42352
08730,4774
08731,20009
08732,1484
08733,2752
08734,7651
08735,3114
08736,12578
08738,1042
08740,2010
08741,2488
08742,24405
08750,3528
08751,4212
08752,2074
08753,63678
08755,25302
08757,33217
08758,7043
08759,33263
08801,8551
08802,4067
08804,2771
08805,12254
08807,37972
08808,86
08809,6421
08810,8401
08812,14296
08816,46298
08817,44621
08820,39590
08821,354
08822,30354
08823,9016
08824,12115
08825,4707
08826,5838
08827,4629
08828,2178
08829,3725
08830,18459
08831,45620
08832,2863
08833,8796
08835,10344
08836,3845
08837,15847
08840,16558
08844,38367
08846,13635
08848,8435
08850,8281
08852,17220
08853,5247
08854,55961
08857,39898
08858,144
08859,21526
08861,53099
08863,12320
