STATIONNAME,CDEC ID,USGS ID,USACE ID,CNRFC ID,lat,lon,Elevation (feet),RIVER_BASIN,COUNTY,OPERATOR,Gage Type
CAMP SECO RAWS,CPS,,,,36.7242,-118.9425,399,CALAVERAS R,CALAVERAS,US Bureau of Land Management,temp
SOUTH FORK WILLOW CREEK NEAR FRUTO,WCF,,,,39.54154,-122.39005,400,SACRAMENTO R,GLENN,CA Dept of Water Resources/Flood Management,temp
FOLSOM WATER TREATMENT PLANT,FWP,,,,38.687,-121.149,422,AMERICAN R,SACRAMENTO,City of Folsom,temp
BLACK BUTTE WEATHER,BLW,,,,39.8083,-122.3292,425,STONY CR,TEHAMA,US Army Corps of Engineers,temp
LA HONDA,LAH,,,,37.3053,-122.2539,425,SAN GREGORIO CR,SAN MATEO,CAL FIRE,temp
SAN MIGUEL,SMG,,,,32.685,-116.974,425,SWEETWATER R,SAN DIEGO,US Fish & Wildlife Service,temp
HENSLEY LAKE WEATHER,HIW,,,,37.115,-119.8833,440,FRESNO R,MADERA,US Army Corps of Engineers,temp
CORRALITOS,COR,,,,36.992,-121.797,450,PAJARO R,SANTA CRUZ,CAL FIRE,temp
FORT ORD #1,FO1,,,,36.627,-121.798,460,SALINAS R,MONTEREY,US Army,temp
EEL RIVER CAMP,ERC,,,,40.138,-123.824,470,EEL R,HUMBOLDT,CAL FIRE,temp
FORT ORD #2,FO2,,,,36.627,-121.786,490,SALINAS R,MONTEREY,US Army,temp
STONY CK NR GRIZZLY FLAT (CO RD 200A),SCG,,,,39.73181,-122.414,496,STONY CR,GLENN,US Bureau of Reclamation,temp
PANOCHE ROAD,PCH,,,,36.636,-120.64,500,SAN JOAQUIN VLY WEST,FRESNO,CAL FIRE,temp
REDDING,RED,,,,40.516,-122.291,500,SACRAMENTO R,SHASTA,US Forest Service,temp
SANTA FE,SAF,,,,34.1261,-117.9464,500,SAN GABRIEL R,LOS ANGELES,Los Angeles County Fire Dept,temp
EASTMAN LAKE WEATHER,ELW,,,,37.2133,-119.97,540,CHOWCHILLA R,MADERA,US Army Corps of Engineers,temp
DAVIS RANCH,DVR,,,,40.35,-122.45,550,COTTONWOOD CR,TEHAMA,US Bureau of Reclamation,temp
NEW HOGAN WEATHER,NHW,,,,38.1508,-120.8156,554,CALAVERAS R,CALAVERAS,US Army Corps of Engineers,temp
SANTA ROSA (CDF),STA,,,,38.479,-122.712,560,RUSSIAN R,SONOMA,CAL FIRE,temp
KERN CANYON PH (PG&E),KPH,,,,35.433,-118.783,570,KERN R,KERN,Pacific Gas & Electric,temp
LAKE KAWEAH WEATHER,LKW,,,,36.4153,-118.6975,570,KAWEAH R,TULARE,US Army Corps of Engineers,temp
FRIANT DAM,FRT,,,,36.995,-119.692,578,SAN JOAQUIN R,FRESNO,US Bureau of Reclamation,temp
SHASTA DAM (WATER QUALITY),SHD,,,,40.7161,-122.4253,580,SACRAMENTO R,SHASTA,US Bureau of Reclamation,temp
SUCCESS WEATHER,SCW,,,,36.05,-118.9139,590,TULE R,TULARE,US Army Corps of Engineers,temp
SACRAMENTO RIVER AT KESWICK,KWK,,,,40.60098,-122.44446,596,SACRAMENTO R,SHASTA,US Geological Survey & US Bureau of Reclamation,temp
ARROYO GRANDE,ARG,,,,35.117,-120.417,600,ARROYO GRANDE CREEK,SAN LUIS OBISPO,CAL FIRE,temp
COLGATE PH,CGT,,,,39.3308,-121.19,600,YUBA R,YUBA,CA Dept of Water Resources/Flood Management,temp
SANTA CRUZ ISLAND,SCZ,,,,34.017,-119.783,600,S BARBARA COAST,SANTA BARBARA,National Park Service,temp
MALIBU CANYON,MCY,,,,34.0839,-118.7033,610,VENTURA LA COASTAL,LOS ANGELES,Los Angeles County,temp
PINE FLAT WEATHER,PFW,,,,36.8236,-119.3369,610,KINGS R,FRESNO,US Army Corps of Engineers,temp
PIRU,PIU,,,,34.404,-118.81,624,SANTA CLARA R,VENTURA,Ventura County,temp
GRINDSTONE CK NR GRINDSTONE RANCHERIA,GRI,,,,39.67911,-122.53054,630,STONY CR,GLENN,US Bureau of Reclamation,temp
SOUTH HONCUT CREEK NEAR BANGOR,SFH,,,,39.36824,-121.37188,630,FEATHER R,BUTTE,CA Dept of Water Resources/NCRO,temp
PULGAS,PUL,,,,37.475,-122.298,644,SAN MATEO CREEK,SAN MATEO,San Francisco PUC,temp
BRIDGEVILLE,BGV,,,,40.474,-123.792,646,VAN DUZEN R,HUMBOLDT,CA Dept of Water Resources/Flood Management,temp
LOS GATOS,LSG,,,,37.2068,-121.9428,646,LOS GATOS CR (NEAR SAN JOSE),SANTA CLARA,CAL FIRE,temp
LAKE MENDOCINO WEATHER,CDW,,,,39.2031,-123.1853,670,RUSSIAN R,MENDOCINO,US Army Corps of Engineers,temp
REDDING FIRE STATION,RFS,,,,40.5736,-122.4193,740,SACTO VLY NE,SHASTA,US Bureau of Reclamation,temp
BELL CANYON,BEC,,,,33.5517,-117.5731,750,SANTA ANA R,ORANGE,Orange County Fire Authority,temp
FISH CREEK MOUNTAINS,FIS,,,,32.983,-116.058,760,WEST SALTON SEA,IMPERIAL,US Bureau of Land Management,temp
OJAI,OJA,,,,34.448,-119.23,765,SAN ANTONIO CR (SOUTH COAST),VENTURA,Ventura County,temp
FORT ORD,FTD,,,,36.599,-121.753,768,SALINAS R,MONTEREY,US Forest Service,temp
THOUSAND OAKS RAWS,TOK,,,,34.21,-118.87,795,SANTA CLARA R,VENTURA,Ventura County Fire,temp
BANGOR,BGR,,,,39.38073,-121.38625,800,YUBA R,BUTTE,CAL FIRE,temp
STONY GORGE RESERVOIR,STG,,,,39.583,-122.533,800,STONY CR,GLENN,US Bureau of Reclamation,temp
J7 SAN JOAQUIN R 1 MI ABV KERCKHOFF 1 PH,SJK,,,,37.102,-119.539,803,SAN JOAQUIN R,MADERA,Pacific Gas & Electric,temp
KETTLEMAN HILLS,KTT,,,,36.033,-120.057,810,TULARE LAKE,KINGS,US Bureau of Land Management,temp
RICE VALLEY,RIC,,,,34.06075,-114.73228,831,COLORADO R,RIVERSIDE,US Bureau of Land Management,temp
BOONVILLE,BNV,,,,38.9875,-123.3486,840,NAVARRO RIVER,MENDOCINO,CAL FIRE,temp
ENGLEBRIGHT WEATHER,ENW,,,,39.2372,-121.2653,850,YUBA R,NEVADA,US Army Corps of Engineers,temp
SAN JOAQUIN RIVER NEAR AUBERRY,SJA,,,,37.132,-119.531,870,SAN JOAQUIN R,FRESNO,Pacific Gas & Electric,temp
NEW EXCHEQUER-LK MCCLURE,EXC,,,,37.585,-120.27,879,MERCED R,MARIPOSA,Merced Irrigation District,temp
FALLBROOK WEATHER STATION,FBK,,,,33.382,-117.286,879,SANTA MARGARITA R,SAN DIEGO,US Navy,temp
OROVILLE DAM SPILLWAY WEATHER STATION,OWS,,,,39.543,-121.491,880,FEATHER R,BUTTE,CA Dept of Water Resources,temp
STONY CREEK NR SUWANNA RANCH (CO RD 410),SUW,,,,39.48483,-122.51413,890,STONY CR,GLENN,US Bureau of Reclamation,temp
LAS TABLAS,LTB,,,,35.65639,-120.92416,900,SALINAS R,SAN LUIS OBISPO,CAL FIRE,temp
SIMI VALLEY,SMV,,,,34.2912,-118.7976,914,SANTA CLARA R,VENTURA,Ventura County,temp
TARGET RANGE PENDELTON,CMP,,,,33.372,-117.359,918,SANTA MARGARITA R,SAN DIEGO,US Marine Corps,temp
FANCHER CREEK,FCH,,,,36.8839,-119.4658,920,KINGS R,FRESNO,CAL FIRE,temp
MT WASHINGTON,MTW,,,,34.1041,-118.2149,920,LOS ANGELES R,LOS ANGELES,Los Angeles County Fire Dept,temp
SOMES BAR,SSB,,,,41.333,-123.5,920,KLAMATH R,HUMBOLDT,US Forest Service,temp
ALDER POINT,ALD,,,,40.232,-123.712,923,EEL R,HUMBOLDT,CAL FIRE,temp
MOCCASIN MET STATION,MHH,,,,37.81015,-120.29686,930,TUOLUMNE R,TUOLUMNE,San Francisco PUC,temp
MOJAVE RIVER SINK,MOJ,,,,35.058,-116.083,950,MOJAVE R,SAN BERNARDINO,US Bureau of Land Management,temp
WHITTIER HILLS WILDERNESS PRESERVE,WWP,,,,33.984,-118.01,950,SAN GABRIEL R,LOS ANGELES,Los Angeles County Fire Dept,temp
ARROYO SECO,ARY,,,,36.23,-121.488,980,SALINAS R,MONTEREY,US Forest Service,temp
OAKLAND SOUTH,OSO,,,,37.7881,-122.1436,1000,EAST BAY,ALAMEDA,Oakland Fire Services Agency,temp
GREEN SPRINGS,GRN,,,,37.833,-120.5,1020,TUOLUMNE R,TUOLUMNE,CAL FIRE,temp
POTTER VALLEY PH,PVP,,,,39.367,-123.133,1020,RUSSIAN R,MENDOCINO,Pacific Gas & Electric,temp
THOMES CREEK (CDF),TCK,,,,39.858,-122.612,1025,SACRAMENTO R,TEHAMA,CAL FIRE,temp
VANDENBERG,VAN,,,,34.759,-120.486,1050,SANTA YNEZ R,SANTA BARBARA,US Forest Service,temp
STANISLAUS POWERHOUSE,SPW,,,,38.133,-120.367,1060,STANISLAUS R,CALAVERAS,Pacific Gas & Electric,temp
AMMO DUMP,AMD,,,,33.382,-117.286,1068,SANTA MARGARITA R,SAN DIEGO,Camp Pendleton Fire Dept,temp
SACRAMENTO RIVER AT DELTA,DLT,,,,40.93959,-122.41724,1075,SACRAMENTO R,SHASTA,US Geological Survey & US Bureau of Reclamation,temp
SPRING VALLEY,SVA,,,,37.5625,-122.436,1075,SAN MATEO CREEK,SAN MATEO,San Francisco PUC,temp
POTTER VALLEY,PTV,,,,39.3644,-123.1272,1080,RUSSIAN R,MENDOCINO,US Army Corps of Engineers,temp
LAKESHORE,LKS,,,,40.867,-122.383,1100,SACRAMENTO R,SHASTA,US Bureau of Reclamation,temp
SHASTA DAM (USBR),SHS,,,,40.717,-122.417,1100,SACRAMENTO R,SHASTA,US Bureau of Reclamation,temp
SANTA MARGARITA BOOSTER,SMB,,,,35.374,-120.637,1100,SALINAS R,SAN LUIS OBISPO,CA Dept of Water Resources,temp
YORKVILLE,YOR,,,,38.9053,-123.2314,1100,RUSSIAN R,MENDOCINO,CA Dept of Water Resources,temp
BEN BOLT,BLT,,,,38.586,-121.017,1138,COSUMNES R,EL DORADO,CAL FIRE,temp
CALAVERAS ROAD,CAD,,,,37.5531,-121.8439,1140,ALAMEDA CR,ALAMEDA,San Francisco PUC,temp
MERCED RIVER NEAR BRICEBURG,MBB,,,,37.5989,-119.9781,1150,MERCED R,MARIPOSA,Merced Irrigation District,temp
AUBURN DAM RIDGE,ADR,,,,38.882,-121.045,1200,AMERICAN R,PLACER,US Bureau of Reclamation,temp
CATHEY'S VALLEY,CVR,,,,37.3803,-120.0769,1200,SAN JOAQUIN R,MARIPOSA,CAL FIRE,temp
PILOT HILL (CDF),PIH,,,,38.8317,-121.0092,1200,AMERICAN R,EL DORADO,CAL FIRE,temp
TALEGA,TAL,,,,33.475,-117.487,1203,SANTA MARGARITA R,SAN DIEGO,Camp Pendleton Fire Dept,temp
EAST PARK RESERVOIR,EPK,,,,39.367,-122.517,1205,STONY CR,COLUSA,US Bureau of Reclamation,temp
SANTA ROSA ISLAND,ROS,,,,33.967,-120.067,1250,S BARBARA COAST,SANTA BARBARA,National Park Service,temp
BEVERLY HILLS,BHL,,,,34.125,-118.42,1260,LOS ANGELES R,LOS ANGELES,Los Angeles County Fire Dept,temp
VENADO,VEN,,,,38.60861,-123.01806,1260,RUSSIAN R,SONOMA,CA Dept of Water Resources,temp
BIG BAR,BGB,,,,40.733,-123.2,1270,TRINITY R,TRINITY,US Forest Service,temp
COLLINS LAKE,CLS,,,,39.3376,-121.3271,1270,YUBA R,YUBA,Brown's Valley Irrigation District,temp
DEL VALLE,DVL,,,,34.431,-118.666,1278,SANTA CLARA R,LOS ANGELES,Los Angeles County Fire Dept,temp
RAINBOW DIVERSION DAM,RBW,,,,39.371,-122.605,1297,STONY CR,COLUSA,US Bureau of Reclamation,temp
BRANDY CREEK,BDY,,,,40.617,-122.567,1300,SACTO VLY NE,SHASTA,US Bureau of Reclamation,temp
DIDDY WELLS,DDW,,,,40.7,-122.1,1300,SACTO VLY NE,SHASTA,US Bureau of Reclamation,temp
OGO RANGER STATION,OGO,,,,40.423,-122.737,1300,COTTONWOOD CR,SHASTA,CA Dept of Water Resources/Flood Management,temp
OAK BOTTOM,OKB,,,,40.651,-122.606,1326,SACRAMENTO R,SHASTA,National Park Service,temp
WQ15,Q15,,,,39.42767,-123.358,1334,EEL R,MENDOCINO,CA Dept of Transportation,temp
WQ09,Q09,,,,39.41096,-123.34,1338,EEL R,MENDOCINO,CA Dept of Transportation,temp
WQ14,Q14,,,,39.4225,-123.344,1340,EEL R,MENDOCINO,CA Dept of Transportation,temp
TONNER CANYON,TNR,,,,33.9475,-117.8222,1340,SANTA ANA R,LOS ANGELES,Los Angeles County Fire Dept,temp
WQ13,Q13,,,,39.42057,-123.343,1342,EEL R,MENDOCINO,CA Dept of Transportation,temp
WQ17,Q17,,,,39.43056,-123.355,1343,EEL R,MENDOCINO,CA Dept of Transportation,temp
NF TRINITY RIVER AT HELENA,NTR,,,,40.782,-123.127,1345,TRINITY R,TRINITY,US Geological Survey & US Bureau of Reclamation,temp
PEAR TREE GULCH,PTG,,,,40.766,-123.116,1350,TRINITY R,TRINITY,US Bureau of Reclamation,temp
WQ10,Q10,,,,39.41942,-123.341,1350,EEL R,MENDOCINO,CA Dept of Transportation,temp
WQ07,Q07,,,,39.41096,-123.341,1352,EEL R,MENDOCINO,CA Dept of Transportation,temp
WQ12,Q12,,,,39.41833,-123.341,1358,EEL R,MENDOCINO,CA Dept of Transportation,temp
WQ05,Q05,,,,39.39896,-123.341,1360,EEL R,MENDOCINO,CA Dept of Transportation,temp
WQ08,Q08,,,,39.40978,-123.34,1361,EEL R,MENDOCINO,CA Dept of Transportation,temp
WQ11,Q11,,,,39.42124,-123.341,1361,EEL R,MENDOCINO,CA Dept of Transportation,temp
WQ06,Q06,,,,39.40728,-123.343,1363,EEL R,MENDOCINO,CA Dept of Transportation,temp
VALLEY CENTER,VAL,,,,33.2394,-117.0142,1370,SAN LUIS REY R,SAN DIEGO,CAL FIRE,temp
WQ04,Q04,,,,39.39646,-123.342,1383,EEL R,MENDOCINO,CA Dept of Transportation,temp
LITTLE TUJUNGA,LTJ,,,,34.294,-118.361,1390,LOS ANGELES R,LOS ANGELES,US Forest Service,temp
NEW MELONES,NMS,,,,37.948,-120.525,1400,STANISLAUS R,CALAVERAS,US Bureau of Reclamation,temp
CATALINA,CNA,,,,33.35078,-118.35225,1407,NONE SPECIFIED,LOS ANGELES,Los Angeles County Fire Dept,temp
\TRINITY R ABV NF TRINITY NR HELENA,NFH,,,,40.76653,-123.11448,1410,TRINITY R,TRINITY,US Geological Survey & US Bureau of Reclamation,temp
WQ03,Q03,,,,39.37711,-123.328,1447,EEL R,MENDOCINO,CA Dept of Transportation,temp
BRIONES,BNE,,,,37.934,-122.118,1450,EAST BAY,CONTRA COSTA,East Bay Regional Parks Fire-Rescue Services,temp
SAUGUS,SAU,,,,34.425,-118.525,1450,SANTA CLARA R,LOS ANGELES,Los Angeles County Fire Dept,temp
WQ01,Q01,,,,39.37687,-123.326,1454,EEL R,MENDOCINO,CA Dept of Transportation,temp
COVELO,CLO,,,,39.82611,-123.08319,1487,EEL R,MENDOCINO,CA Dept of Water Resources/Flood Management,temp
EEL RIVER (USFS),EEL,,,,39.833,-123.083,1500,EEL R,MENDOCINO,US Forest Service,temp
MONTECITO,MTC,,,,34.46,-119.643,1500,S BARBARA COAST,SANTA BARBARA,US Forest Service,temp
OAKLAND NORTH,ONO,,,,37.867,-122.217,1500,EAST BAY,ALAMEDA,Oakland Fire Services Agency,temp
ORANGE CO MICRORAWS #1,OR1,,,,33.757,-117.655,1500,SANTA ANA R,ORANGE,Orange County,temp
ARGONAUT DAM CA ARB RAWS,ANU,,,,38.3536,-120.7902,1513,MOKELUMNE R,AMADOR,CA Air Resources Board,temp
PARKFIELD,PKF,,,,35.899,-120.432,1535,SALINAS R,MONTEREY,CAL FIRE,temp
TRIMMER,TRI,,,,36.9,-119.2,1540,KINGS R,FRESNO,US Forest Service,temp
MALIBU,MLB,,,,34.0617,-118.644,1575,VENTURA LA COASTAL,LOS ANGELES,Los Angeles County Fire Dept,temp
CHALKS,CKS,,,,37.161,-122.292,1585,SANTA CRUZ CO COAST,SANTA CRUZ,CAL FIRE,temp
BLACK DIAMOND MINES,BKD,,,,37.95,-121.884,1600,EAST BAY,CONTRA COSTA,East Bay Regional Parks Fire-Rescue Services,temp
COHASSET,CST,,,,39.87528,-121.77055,1600,SACRAMENTO R,BUTTE,CAL FIRE,temp
TRINITY RIVER AT DOUGLAS CITY,DGC,,,,40.64528,-122.95667,1600,TRINITY R,TRINITY,US Geological Survey & US Bureau of Reclamation,temp
TOPANGA RAWS,TPG,,,,34.1364,-118.605,1600,VENTURA LA COASTAL,LOS ANGELES,Los Angeles County Fire Dept,temp
GIBSON,GIB,,,,41.0225,-122.3992,1633,SACRAMENTO R,SHASTA,CA Dept of Water Resources/Flood Management,temp
CLAREMONT,CMO,,,,34.137,-117.707,1645,LOS ANGELES R,LOS ANGELES,Los Angeles County Fire Dept,temp
CHEESEBORO,CHE,,,,34.1847,-118.7172,1650,VENTURA LA COASTAL,VENTURA,National Park Service,temp
LA PANZA,LPZ,,,,35.3806,-120.1881,1650,SALINAS R,SAN LUIS OBISPO,CAL FIRE,temp
TRINITY RIVER BELOW LIMEKILN GULCH,TLK,,,,40.673,-122.919,1650,TRINITY R,TRINITY,US Geological Survey & US Bureau of Reclamation,temp
ATLAS PEAK,ATL,,,,38.42833,-122.24833,1660,NAPA R,NAPA,CA Dept of Water Resources/Flood Management,temp
WILEY RIDGE,WLY,,,,34.3717,-118.8408,1665,VENTURA LA COASTAL,VENTURA,Ventura Cty Air Polution Control District,temp
RUSH CREEK NEAR LEWISTON,RCL,,,,40.725,-122.834,1700,TRINITY R,TRINITY,US Geological Survey & US Bureau of Reclamation,temp
CLARK TRAINING CENTER,CRK,,,,33.8772,-117.3042,1720,SAN JACINTO R,RIVERSIDE,CAL FIRE,temp
ST. HELENA 4WSW,SH4,,,,38.49306,-122.53972,1729,NAPA R,NAPA,CA Dept of Water Resources,temp
WEAVER CREEK NEAR WEAVERVILLE,WVC,,,,40.68548,-122.93425,1740,TRINITY R,TRINITY,US Geological Survey,temp
FREMONT CANYON,FMC,,,,33.8111,-117.708,1750,SANTA ANA R,ORANGE,Orange County Fire Authority,temp
PARADISE,PDE,,,,39.7536,-121.6247,1750,FEATHER R,BUTTE,CA Dept of Water Resources,temp
BUCKS CREEK POWERHOUSE,BUP,,,,39.917,-121.333,1760,FEATHER R,PLUMAS,Pacific Gas & Electric,temp
LAS TRAMPAS,LTR,,,,37.834,-122.067,1760,EAST BAY,CONTRA COSTA,East Bay Regional Parks Fire-Rescue Services,temp
SAN RAFAEL HILLS,SRA,,,,34.1942,-118.2125,1770,LOS ANGELES R,LOS ANGELES,Los Angeles County Fire Dept,temp
SODA CREEK,SOD,,,,39.433,-122.983,1773,EEL R,HUMBOLDT,US Forest Service,temp
SCOTT DAM,SCD,,,,39.4083,-122.9586,1807,EEL R,LAKE,Pacific Gas & Electric,temp
ANGWIN,ANG,,,,38.5712,-122.4332,1815,NAPA R,NAPA,CA Dept of Water Resources/Flood Management,temp
HASTINGS,HTG,,,,36.388,-121.551,1824,CARMEL R,MONTEREY,CAL FIRE,temp
LEWISTON (WATER QUALITY),LWS,,,,40.71931,-122.80363,1830,TRINITY R,TRINITY,US Geological Survey & US Bureau of Reclamation,temp
LAYTONVILLE,LAY,,,,39.702,-123.485,1838,EEL R,MENDOCINO,CAL FIRE,temp
DIABLO CANYON,DBC,,,,37.329,-121.302,1850,SAN JOAQUIN R,STANISLAUS,CAL FIRE,temp
PLACERVILLE WEATHER STATION,PWS,,,,38.69543,-120.8243,1858,AMERICAN R,EL DORADO,CA Dept of Water Resources/Flood Management,temp
LEWISTON FISH HATCHERY,LFH,,,,40.727,-122.793,1870,TRINITY R,TRINITY,US Bureau of Reclamation,temp
WILLITS HOWARD RS,WIL,,,,39.3506,-123.3217,1925,RUSSIAN R,MENDOCINO,CA Dept of Water Resources,temp
